parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
2985,-0.0334384,-0.0464943,0.0566905,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458521,7.18803,1.85E-15
2986,-0.0334384,-0.0464943,0.0566904,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458521,7.18803,1.85E-15
2987,-0.0334385,-0.0464943,0.0566903,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458522,7.18803,1.85E-15
2988,-0.0334385,-0.0464944,0.0566902,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458523,7.18803,1.85E-15
2989,-0.0334385,-0.0464944,0.0566901,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458523,7.18803,1.85E-15
2990,-0.0334385,-0.0464944,0.05669,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458524,7.18803,1.85E-15
2991,-0.0334386,-0.0464944,0.0566899,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458524,7.18803,1.85E-15
2992,-0.0334386,-0.0464945,0.0566898,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458525,7.18803,1.85E-15
2993,-0.0334386,-0.0464945,0.0566897,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458525,7.18803,1.85E-15
2994,-0.0334386,-0.0464945,0.0566896,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458526,7.18803,1.85E-15
2995,-0.0334387,-0.0464945,0.0566895,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458526,7.18802,1.85E-15
2996,-0.0334387,-0.0464945,0.0566895,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458527,7.18802,1.85E-15
2997,-0.0334387,-0.0464946,0.0566894,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458528,7.18802,1.85E-15
2998,-0.0334387,-0.0464946,0.0566893,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458528,7.18802,1.85E-15
2999,-0.0334388,-0.0464946,0.0566892,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458529,7.18802,1.85E-15
3000,-0.0334388,-0.0464946,0.0566891,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458529,7.18802,1.85E-15
3001,-0.0334388,-0.0464947,0.056689,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.045853,7.18802,1.85E-15
3002,-0.0334388,-0.0464947,0.0566889,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.045853,7.18802,1.85E-15
3003,-0.0334389,-0.0464947,0.0566888,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458531,7.18802,1.85E-15
3004,-0.0334389,-0.0464947,0.0566887,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458532,7.18802,1.85E-15
3005,-0.0334389,-0.0464947,0.0566886,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458532,7.18802,1.85E-15
3006,-0.0334389,-0.0464948,0.0566885,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458533,7.18802,1.85E-15
3007,-0.033439,-0.0464948,0.0566885,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458533,7.18802,1.85E-15
3008,-0.033439,-0.0464948,0.0566884,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458534,7.18802,1.85E-15
3009,-0.033439,-0.0464948,0.0566883,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458534,7.18802,1.85E-15
3010,-0.033439,-0.0464949,0.0566882,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458535,7.18802,1.85E-15
3011,-0.0334391,-0.0464949,0.0566881,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458535,7.18802,1.85E-15
3012,-0.0334391,-0.0464949,0.056688,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458536,7.18801,1.85E-15
3013,-0.0334391,-0.0464949,0.0566879,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458537,7.18801,1.85E-15
3014,-0.0334391,-0.046495,0.0566878,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458537,7.18801,1.85E-15
3015,-0.0334392,-0.046495,0.0566877,0.000155261,-1.02E-07,-1.02E-07,0.111181,0.0458538,7.18801,1.85E-15
3016,-0.0334392,-0.046495,0.0566876,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458538,7.18801,1.85E-15
3017,-0.0334392,-0.046495,0.0566876,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458539,7.18801,1.85E-15
3018,-0.0334392,-0.046495,0.0566875,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458539,7.18801,1.85E-15
3019,-0.0334393,-0.0464951,0.0566874,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.045854,7.18801,1.85E-15
3020,-0.0334393,-0.0464951,0.0566873,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.045854,7.18801,1.85E-15
3021,-0.0334393,-0.0464951,0.0566872,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458541,7.18801,1.85E-15
3022,-0.0334393,-0.0464951,0.0566871,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458541,7.18801,1.85E-15
3023,-0.0334394,-0.0464952,0.056687,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458542,7.18801,1.85E-15
3024,-0.0334394,-0.0464952,0.0566869,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458543,7.18801,1.85E-15
3025,-0.0334394,-0.0464952,0.0566868,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458543,7.18801,1.85E-15
3026,-0.0334394,-0.0464952,0.0566868,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458544,7.18801,1.85E-15
3027,-0.0334395,-0.0464952,0.0566867,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458544,7.18801,1.85E-15
3028,-0.0334395,-0.0464953,0.0566866,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458545,7.188,1.85E-15
3029,-0.0334395,-0.0464953,0.0566865,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458545,7.188,1.85E-15
3030,-0.0334395,-0.0464953,0.0566864,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458546,7.188,1.85E-15
3031,-0.0334396,-0.0464953,0.0566863,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458546,7.188,1.85E-15
3032,-0.0334396,-0.0464954,0.0566862,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458547,7.188,1.85E-15
3033,-0.0334396,-0.0464954,0.0566861,0.000155261,-1.02E-07,-1.02E-07,0.11118,0.0458547,7.188,1.85E-15
3034,-0.0334396,-0.0464954,0.056686,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458548,7.188,1.85E-15
3035,-0.0334397,-0.0464954,0.056686,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458549,7.188,1.85E-15
3036,-0.0334397,-0.0464954,0.0566859,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458549,7.188,1.85E-15
3037,-0.0334397,-0.0464955,0.0566858,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.045855,7.188,1.85E-15
3038,-0.0334397,-0.0464955,0.0566857,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.045855,7.188,1.85E-15
3039,-0.0334398,-0.0464955,0.0566856,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458551,7.188,1.85E-15
3040,-0.0334398,-0.0464955,0.0566855,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458551,7.188,1.85E-15
3041,-0.0334398,-0.0464956,0.0566854,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458552,7.188,1.85E-15
3042,-0.0334398,-0.0464956,0.0566853,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458552,7.188,1.85E-15
3043,-0.0334398,-0.0464956,0.0566853,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458553,7.188,1.85E-15
3044,-0.0334399,-0.0464956,0.0566852,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458553,7.188,1.85E-15
3045,-0.0334399,-0.0464956,0.0566851,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458554,7.188,1.85E-15
3046,-0.0334399,-0.0464957,0.056685,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458554,7.18799,1.85E-15
3047,-0.0334399,-0.0464957,0.0566849,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458555,7.18799,1.85E-15
3048,-0.03344,-0.0464957,0.0566848,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458556,7.18799,1.85E-15
3049,-0.03344,-0.0464957,0.0566847,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458556,7.18799,1.85E-15
3050,-0.03344,-0.0464957,0.0566847,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458557,7.18799,1.85E-15
3051,-0.03344,-0.0464958,0.0566846,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458557,7.18799,1.85E-15
3052,-0.0334401,-0.0464958,0.0566845,0.000155261,-1.02E-07,-1.02E-07,0.111179,0.0458558,7.18799,1.85E-15
3053,-0.0334401,-0.0464958,0.0566844,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458558,7.18799,1.85E-15
3054,-0.0334401,-0.0464958,0.0566843,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458559,7.18799,1.85E-15
3055,-0.0334401,-0.0464959,0.0566842,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458559,7.18799,1.85E-15
3056,-0.0334402,-0.0464959,0.0566841,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.045856,7.18799,1.85E-15
3057,-0.0334402,-0.0464959,0.056684,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.045856,7.18799,1.85E-15
3058,-0.0334402,-0.0464959,0.056684,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458561,7.18799,1.85E-15
3059,-0.0334402,-0.0464959,0.0566839,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458561,7.18799,1.85E-15
3060,-0.0334402,-0.046496,0.0566838,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458562,7.18799,1.85E-15
3061,-0.0334403,-0.046496,0.0566837,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458562,7.18799,1.85E-15
3062,-0.0334403,-0.046496,0.0566836,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458563,7.18799,1.85E-15
3063,-0.0334403,-0.046496,0.0566835,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458564,7.18798,1.85E-15
3064,-0.0334403,-0.046496,0.0566834,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458564,7.18798,1.85E-15
3065,-0.0334404,-0.0464961,0.0566834,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458565,7.18798,1.85E-15
3066,-0.0334404,-0.0464961,0.0566833,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458565,7.18798,1.85E-15
3067,-0.0334404,-0.0464961,0.0566832,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458566,7.18798,1.85E-15
3068,-0.0334404,-0.0464961,0.0566831,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458566,7.18798,1.85E-15
3069,-0.0334405,-0.0464962,0.056683,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458567,7.18798,1.85E-15
3070,-0.0334405,-0.0464962,0.0566829,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458567,7.18798,1.85E-15
3071,-0.0334405,-0.0464962,0.0566829,0.000155261,-1.02E-07,-1.02E-07,0.111178,0.0458568,7.18798,1.85E-15
3072,-0.0334405,-0.0464962,0.0566828,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458568,7.18798,1.85E-15
3073,-0.0334406,-0.0464962,0.0566827,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458569,7.18798,1.85E-15
3074,-0.0334406,-0.0464963,0.0566826,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458569,7.18798,1.85E-15
3075,-0.0334406,-0.0464963,0.0566825,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.045857,7.18798,1.85E-15
3076,-0.0334406,-0.0464963,0.0566824,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.045857,7.18798,1.85E-15
3077,-0.0334406,-0.0464963,0.0566823,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458571,7.18798,1.85E-15
3078,-0.0334407,-0.0464963,0.0566823,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458571,7.18798,1.85E-15
3079,-0.0334407,-0.0464964,0.0566822,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458572,7.18798,1.85E-15
3080,-0.0334407,-0.0464964,0.0566821,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458572,7.18798,1.85E-15
3081,-0.0334407,-0.0464964,0.056682,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458573,7.18797,1.85E-15
3082,-0.0334408,-0.0464964,0.0566819,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458573,7.18797,1.85E-15
3083,-0.0334408,-0.0464965,0.0566818,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458574,7.18797,1.85E-15
3084,-0.0334408,-0.0464965,0.0566818,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458574,7.18797,1.85E-15
3085,-0.0334408,-0.0464965,0.0566817,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458575,7.18797,1.85E-15
3086,-0.0334409,-0.0464965,0.0566816,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458575,7.18797,1.85E-15
3087,-0.0334409,-0.0464965,0.0566815,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458576,7.18797,1.85E-15
3088,-0.0334409,-0.0464966,0.0566814,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458577,7.18797,1.85E-15
3089,-0.0334409,-0.0464966,0.0566813,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458577,7.18797,1.85E-15
3090,-0.0334409,-0.0464966,0.0566813,0.000155261,-1.02E-07,-1.02E-07,0.111177,0.0458578,7.18797,1.85E-15
3091,-0.033441,-0.0464966,0.0566812,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458578,7.18797,1.85E-15
3092,-0.033441,-0.0464966,0.0566811,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458579,7.18797,1.85E-15
3093,-0.033441,-0.0464967,0.056681,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458579,7.18797,1.85E-15
3094,-0.033441,-0.0464967,0.0566809,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.045858,7.18797,1.85E-15
3095,-0.0334411,-0.0464967,0.0566808,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.045858,7.18797,1.85E-15
3096,-0.0334411,-0.0464967,0.0566808,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458581,7.18797,1.85E-15
3097,-0.0334411,-0.0464967,0.0566807,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458581,7.18797,1.85E-15
3098,-0.0334411,-0.0464968,0.0566806,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458582,7.18797,1.85E-15
3099,-0.0334411,-0.0464968,0.0566805,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458582,7.18796,1.85E-15
3100,-0.0334412,-0.0464968,0.0566804,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458583,7.18796,1.85E-15
3101,-0.0334412,-0.0464968,0.0566803,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458583,7.18796,1.85E-15
3102,-0.0334412,-0.0464968,0.0566803,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458584,7.18796,1.85E-15
3103,-0.0334412,-0.0464969,0.0566802,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458584,7.18796,1.85E-15
3104,-0.0334413,-0.0464969,0.0566801,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458585,7.18796,1.85E-15
3105,-0.0334413,-0.0464969,0.05668,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458585,7.18796,1.85E-15
3106,-0.0334413,-0.0464969,0.0566799,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458586,7.18796,1.85E-15
3107,-0.0334413,-0.046497,0.0566799,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458586,7.18796,1.85E-15
3108,-0.0334413,-0.046497,0.0566798,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458587,7.18796,1.85E-15
3109,-0.0334414,-0.046497,0.0566797,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458587,7.18796,1.85E-15
3110,-0.0334414,-0.046497,0.0566796,0.000155261,-1.02E-07,-1.02E-07,0.111176,0.0458588,7.18796,1.85E-15
3111,-0.0334414,-0.046497,0.0566795,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.0458588,7.18796,1.85E-15
3112,-0.0334414,-0.0464971,0.0566794,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.0458589,7.18796,1.85E-15
3113,-0.0334415,-0.0464971,0.0566794,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.0458589,7.18796,1.85E-15
3114,-0.0334415,-0.0464971,0.0566793,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.045859,7.18796,1.85E-15
3115,-0.0334415,-0.0464971,0.0566792,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.045859,7.18796,1.85E-15
3116,-0.0334415,-0.0464971,0.0566791,0.000155261,-1.02E-07,-1.02E-07,0.111175,0.0458591,7.18796,1.85E-15
3117,-0.0334415,-0.0464972,0.056679,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458591,7.18796,1.85E-15
3118,-0.0334416,-0.0464972,0.056679,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458592,7.18795,1.85E-15
3119,-0.0334416,-0.0464972,0.0566789,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458592,7.18795,1.85E-15
3120,-0.0334416,-0.0464972,0.0566788,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458593,7.18795,1.85E-15
3121,-0.0334416,-0.0464972,0.0566787,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458593,7.18795,1.85E-15
3122,-0.0334417,-0.0464973,0.0566786,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458594,7.18795,1.85E-15
3123,-0.0334417,-0.0464973,0.0566786,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458594,7.18795,1.85E-15
3124,-0.0334417,-0.0464973,0.0566785,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458595,7.18795,1.85E-15
3125,-0.0334417,-0.0464973,0.0566784,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458595,7.18795,1.85E-15
3126,-0.0334417,-0.0464973,0.0566783,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458596,7.18795,1.85E-15
3127,-0.0334418,-0.0464974,0.0566782,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458596,7.18795,1.85E-15
3128,-0.0334418,-0.0464974,0.0566782,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458597,7.18795,1.85E-15
3129,-0.0334418,-0.0464974,0.0566781,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458597,7.18795,1.85E-15
3130,-0.0334418,-0.0464974,0.056678,0.000155262,-1.02E-07,-1.02E-07,0.111175,0.0458598,7.18795,1.85E-15
3131,-0.0334419,-0.0464974,0.0566779,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458598,7.18795,1.85E-15
3132,-0.0334419,-0.0464975,0.0566778,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458599,7.18795,1.85E-15
3133,-0.0334419,-0.0464975,0.0566778,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458599,7.18795,1.85E-15
3134,-0.0334419,-0.0464975,0.0566777,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.04586,7.18795,1.85E-15
3135,-0.0334419,-0.0464975,0.0566776,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.04586,7.18795,1.85E-15
3136,-0.033442,-0.0464975,0.0566775,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458601,7.18795,1.85E-15
3137,-0.033442,-0.0464976,0.0566774,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458601,7.18794,1.85E-15
3138,-0.033442,-0.0464976,0.0566774,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458602,7.18794,1.85E-15
3139,-0.033442,-0.0464976,0.0566773,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458602,7.18794,1.85E-15
3140,-0.0334421,-0.0464976,0.0566772,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458603,7.18794,1.85E-15
3141,-0.0334421,-0.0464976,0.0566771,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458603,7.18794,1.85E-15
3142,-0.0334421,-0.0464977,0.056677,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458604,7.18794,1.85E-15
3143,-0.0334421,-0.0464977,0.056677,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458604,7.18794,1.85E-15
3144,-0.0334421,-0.0464977,0.0566769,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458605,7.18794,1.85E-15
3145,-0.0334422,-0.0464977,0.0566768,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458605,7.18794,1.85E-15
3146,-0.0334422,-0.0464977,0.0566767,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458605,7.18794,1.85E-15
3147,-0.0334422,-0.0464978,0.0566766,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458606,7.18794,1.85E-15
3148,-0.0334422,-0.0464978,0.0566766,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458606,7.18794,1.85E-15
3149,-0.0334422,-0.0464978,0.0566765,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458607,7.18794,1.85E-15
3150,-0.0334423,-0.0464978,0.0566764,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458607,7.18794,1.85E-15
3151,-0.0334423,-0.0464978,0.0566763,0.000155262,-1.02E-07,-1.02E-07,0.111174,0.0458608,7.18794,1.85E-15
3152,-0.0334423,-0.0464979,0.0566763,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458608,7.18794,1.85E-15
3153,-0.0334423,-0.0464979,0.0566762,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458609,7.18794,1.85E-15
3154,-0.0334424,-0.0464979,0.0566761,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458609,7.18794,1.85E-15
3155,-0.0334424,-0.0464979,0.056676,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.045861,7.18794,1.85E-15
3156,-0.0334424,-0.0464979,0.0566759,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.045861,7.18793,1.85E-15
3157,-0.0334424,-0.046498,0.0566759,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458611,7.18793,1.85E-15
3158,-0.0334424,-0.046498,0.0566758,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458611,7.18793,1.85E-15
3159,-0.0334425,-0.046498,0.0566757,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458612,7.18793,1.85E-15
3160,-0.0334425,-0.046498,0.0566756,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458612,7.18793,1.85E-15
3161,-0.0334425,-0.046498,0.0566756,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458613,7.18793,1.85E-15
3162,-0.0334425,-0.046498,0.0566755,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458613,7.18793,1.85E-15
3163,-0.0334425,-0.0464981,0.0566754,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458614,7.18793,1.85E-15
3164,-0.0334426,-0.0464981,0.0566753,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458614,7.18793,1.85E-15
3165,-0.0334426,-0.0464981,0.0566752,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458615,7.18793,1.85E-15
3166,-0.0334426,-0.0464981,0.0566752,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458615,7.18793,1.85E-15
3167,-0.0334426,-0.0464981,0.0566751,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458616,7.18793,1.85E-15
3168,-0.0334427,-0.0464982,0.056675,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458616,7.18793,1.85E-15
3169,-0.0334427,-0.0464982,0.0566749,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458617,7.18793,1.85E-15
3170,-0.0334427,-0.0464982,0.0566749,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458617,7.18793,1.85E-15
3171,-0.0334427,-0.0464982,0.0566748,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458617,7.18793,1.85E-15
3172,-0.0334427,-0.0464982,0.0566747,0.000155262,-1.02E-07,-1.02E-07,0.111173,0.0458618,7.18793,1.85E-15
3173,-0.0334428,-0.0464983,0.0566746,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458618,7.18793,1.85E-15
3174,-0.0334428,-0.0464983,0.0566746,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458619,7.18793,1.85E-15
3175,-0.0334428,-0.0464983,0.0566745,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458619,7.18793,1.85E-15
3176,-0.0334428,-0.0464983,0.0566744,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.045862,7.18792,1.85E-15
3177,-0.0334428,-0.0464983,0.0566743,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.045862,7.18792,1.85E-15
3178,-0.0334429,-0.0464984,0.0566743,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458621,7.18792,1.85E-15
3179,-0.0334429,-0.0464984,0.0566742,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458621,7.18792,1.85E-15
3180,-0.0334429,-0.0464984,0.0566741,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458622,7.18792,1.85E-15
3181,-0.0334429,-0.0464984,0.056674,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458622,7.18792,1.85E-15
3182,-0.0334429,-0.0464984,0.0566739,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458623,7.18792,1.85E-15
3183,-0.033443,-0.0464985,0.0566739,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458623,7.18792,1.85E-15
3184,-0.033443,-0.0464985,0.0566738,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458624,7.18792,1.85E-15
3185,-0.033443,-0.0464985,0.0566737,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458624,7.18792,1.85E-15
3186,-0.033443,-0.0464985,0.0566736,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458625,7.18792,1.85E-15
3187,-0.033443,-0.0464985,0.0566736,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458625,7.18792,1.85E-15
3188,-0.0334431,-0.0464985,0.0566735,0.000155262,-1.02E-07,-1.02E-07,0.111172,0.0458625,7.18792,1.85E-15
